file_name,method,terminates,memory,opcode
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.changeRequirement:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.transactions:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.isOwner:address,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.getConfirmations:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.required,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.MAX_OWNER_COUNT,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.addOwner:address,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.revokeConfirmation:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.executeTransaction:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,"MultiSigWallet.confirmations:uint256,address",,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,"MultiSigWallet.getTransactionIds:uint256,uint256,bool,bool",,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.getConfirmationCount:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.removeOwner:address,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.confirmTransaction:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,"MultiSigWallet.replaceOwner:address,address",,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.getOwners,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.owners:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.transactionCount,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,MultiSigWallet.isConfirmed:uint256,,,
0x42338FF7E4C3B999Eb69B521323657017cE08727.sol,"MultiSigWallet.getTransactionCount:bool,bool",,,
0x9c113186CC4C56697bBE40F7617ffdC66d41C7Da.sol,MyToken.balanceOf:address,True,15,1271
0x9c113186CC4C56697bBE40F7617ffdC66d41C7Da.sol,"MyToken.burnFrom:address,uint256",True,15,45599
0x9c113186CC4C56697bBE40F7617ffdC66d41C7Da.sol,MyToken.name,True,maximize_failed,3156+850*nat(name/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0x9c113186CC4C56697bBE40F7617ffdC66d41C7Da.sol,"MyToken.allowance:address,address",True,15,1479
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,WistiToken.balanceOf:address,True,15,1249
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"WistiToken.burnFrom:address,uint256",True,15,66595
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,WistiToken.name,True,maximize_failed,3156+850*nat(name/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"WistiToken.allowance:address,address",True,15,1457
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"WistiToken.approveAndCall:address,uint256,bytes",True,maximize_failed,56847+3* (nat(l(extraData))/32)+75*c(maximize_failed)+50*nat(l(extraData))
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"WistiToken.approve:address,uint256",True,15,20510
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"WistiToken.transferFrom:address,address,uint256",True,15,72522
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,WistiToken.symbol,True,maximize_failed,3332+850*c(maximize_failed)+75*c(maximize_failed)+50*nat(unknown)
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,WistiToken.burn:uint256,True,15,44490
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"WistiToken.transfer:address,uint256",True,15,50517
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,WistiToken.decimals,True,15,1115
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,WistiToken.totalSupply,True,15,1023
0x1bf3ff664d0bd9eea47628af7296ce0c51795680.sol,"tokenRecipient.receiveApproval:address,uint256,address,bytes",,,
0x1831887fbabf783910db128e60c41bfa016059d8.sol,,,,
0x039EDb0D0613c58F45A777Ab5DBf7CAfCc7dE9cd.sol,,,,
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,AbstractSweeper.sweeperOf:address,,,
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"AbstractSweeper.sweep:address,uint256",,,
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,AbstractSweeperList.sweeperOf:address,,,
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.halt,True,9,22886
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.defaultSweeper,True,15,1137
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,"Controller.logSweep:address,address,address,uint256",True,15,2522
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.changeDestination:address,True,9,21997
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.owner,True,15,1181
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.sweeperOf:address,True,15,2125
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.destination,True,15,1269
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.makeWallet,True,94,35460
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.start,True,9,22203
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.halted,True,15,1341
0xb2233FCEC42c588Ee71A594d9A25AA695345426c.sol,Controller.authorizedCaller,True,15,1203
